,content,like_count,reply_count,retweet_count,url,username
37,オレの夢には芸能人がたくさん出てきます。昨夜もいろいろ有りました。オレも誰かの夢の中でいろいろやらかしてるんやろなぁ〜😬,67913,683,2166,https://twitter.com/matsu_bouzu/status/1394236536116244480,matsu_bouzu
38,機嫌良さそうでなにより✨ https://t.co/SCXyaeatT5,78392,522,4171,https://twitter.com/matsu_bouzu/status/1391713823401254914,matsu_bouzu
39,母の日のプレゼント。ほんとはワクチンが良いよなぁ。まっ　元気そうやったけど😃,138648,937,5544,https://twitter.com/matsu_bouzu/status/1391338663464685568,matsu_bouzu
40,あんな下の下の記事は相手しなくて良い良い😑 https://t.co/L8zOXZjfJK,40324,382,1800,https://twitter.com/matsu_bouzu/status/1388732337584631808,matsu_bouzu
41,久々のスリーショット😀 https://t.co/jQ4s5Y1wJA,62963,951,4342,https://twitter.com/matsu_bouzu/status/1388066633688641538,matsu_bouzu
42,きゅうりのキューちゃんの鶴瓶さん。なんか好っきゃわ〜。,52305,505,1598,https://twitter.com/matsu_bouzu/status/1387729592916447232,matsu_bouzu
43,明日は【水曜日のダウンタウン】が休みやなぁ〜　ん？　その代わり何やら特番があるなぁ〜,52094,483,1799,https://twitter.com/matsu_bouzu/status/1387037748486295567,matsu_bouzu
44,チャット見てるぞ😬 https://t.co/VfxTlS1cJM,24448,279,958,https://twitter.com/matsu_bouzu/status/1386539193216602112,matsu_bouzu
45,渋谷のライブカメラ映像見ながらティータイム。オレの看板と目が合うのよなー,54936,373,1734,https://twitter.com/matsu_bouzu/status/1386537408305369090,matsu_bouzu
46,浜田と思ったら大仁田やった。,58601,691,2057,https://twitter.com/matsu_bouzu/status/1385569064244826117,matsu_bouzu
47,明日。松ちゃんの番組に浜ちゃんの番組が2分かぶってきます…吉本さん🥺,95655,890,3789,https://twitter.com/matsu_bouzu/status/1382634451042115584,matsu_bouzu
48,ドキュメンタルのイタリア版がなかなかの人気らしい😬,44772,378,1369,https://twitter.com/matsu_bouzu/status/1381909660060422150,matsu_bouzu
49,🥲 https://t.co/JPCwf5JC5H,18399,174,643,https://twitter.com/matsu_bouzu/status/1381098477870964747,matsu_bouzu
50,峰さんのジャケットお洒落やな。東野…,50247,398,1485,https://twitter.com/matsu_bouzu/status/1381088085887184897,matsu_bouzu
51,とにかく笑いが大好きで。目の前の人を笑わせたい。すべった日は悔しくて眠れない。そんな芸人はいつの時代も残ります。,149640,1081,7193,https://twitter.com/matsu_bouzu/status/1379782770566725638,matsu_bouzu
52,1日1人だけ飛び蹴りして良いってルールができたらストレス発散になるかなぁ〜あ　オレも蹴られるから絶対アカンな〜,68003,991,2591,https://twitter.com/matsu_bouzu/status/1377581579141177350,matsu_bouzu
53,新幹線にて。椅子を対面式にして4人でマスク無しで酒飲みながら大笑いしてる人を発見。タイムスリッパーだと思う。,212763,2914,16242,https://twitter.com/matsu_bouzu/status/1375670918626746371,matsu_bouzu
54,どんなマッチョでも筋トレでとことん追い込んだ直後ならガリガリに負けるんやろなぁ〜。なんか深いなぁ〜。深ない。深ない。,71600,669,2455,https://twitter.com/matsu_bouzu/status/1374648658814148613,matsu_bouzu
55,彼女にはシラフでもあのパワーを期待したい😃 https://t.co/yiiy5RakMr,43769,526,1579,https://twitter.com/matsu_bouzu/status/1373128997010239491,matsu_bouzu
56,【お湯を沸かす】っておかしいよね？【水を沸かす】よね？もしくは【お湯に沸かす】とか？失礼しました。。。,82628,1752,3205,https://twitter.com/matsu_bouzu/status/1371805570764697602,matsu_bouzu
57,えー！そうなのー？😮 https://t.co/Omem8imPI3,71785,817,3922,https://twitter.com/matsu_bouzu/status/1370672863938637825,matsu_bouzu
58,『キングオブコント』初の応募資格改定　芸人の即席ユニット出場可能に（オリコン） https://t.co/I6MIfk4iRz,22014,219,1193,https://twitter.com/matsu_bouzu/status/1370264564525199363,matsu_bouzu
59,ZAZY。もったいない。。。ゆりやん。おめでとう〜😃,85188,521,3016,https://twitter.com/matsu_bouzu/status/1368567504939806727,matsu_bouzu
60,R-1ぐらんぷりじゃなくなったR-1グランプリを見てみよう✨,68325,459,2499,https://twitter.com/matsu_bouzu/status/1368434161778712588,matsu_bouzu
61,そろそろ。 https://t.co/Uq5yAFxx2N,78451,659,2791,https://twitter.com/matsu_bouzu/status/1366325825860112384,matsu_bouzu
62,さーてインフルエンサーそろそろシャワー浴びるかな✨,60386,582,1713,https://twitter.com/matsu_bouzu/status/1365645151792603139,matsu_bouzu
63,アマゾンプライムよりドキュメンタル9が2月26日にいよいよ配信されます✨配信前からレビューで星１つ付けてるヤツなんなん？😑,64173,793,3011,https://twitter.com/matsu_bouzu/status/1364940599284015112,matsu_bouzu
64,本日2月22日はニャンニャンニャンで猫の日でありニンニンニンで忍者の日でもあるらしいです。どちらかが2月2日に変えたら良いのに…知らんけど。,64365,777,2845,https://twitter.com/matsu_bouzu/status/1363771017932337156,matsu_bouzu
65,アレ？ネットニュースにならないね🥺 https://t.co/BRJQaLPj7R,45000,420,2147,https://twitter.com/matsu_bouzu/status/1363332806173073411,matsu_bouzu
